window_size,punctuation_position,accuracy_0,loss_1,precision_per_class_2,precision_per_class_3,recall_per_class_4,recall_per_class_5
1,0,0.927,0.176455,0.983368,0.46225,0.937801,0.771208
1,1,0.931583,0.180177,0.983442,0.4856,0.942666,0.773248
3,1,0.935583,0.178618,0.983526,0.502092,0.946979,0.771208
3,2,0.938417,0.165755,0.981621,0.517889,0.951965,0.743261
5,1,0.945083,0.162986,0.982374,0.55619,0.958478,0.751609
5,2,0.947167,0.156467,0.981449,0.571286,0.961686,0.737452
5,3,0.942833,0.161973,0.981886,0.543499,0.95651,0.745828
5,4,0.94625,0.155126,0.98064,0.567134,0.961501,0.726573
5,5,0.948333,0.162826,0.978675,0.588424,0.96576,0.699363
8,2,0.950333,0.156283,0.98064,0.596195,0.96596,0.724936
8,3,0.95,0.159289,0.980893,0.593521,0.965333,0.72914
8,4,0.950833,0.153095,0.980477,0.600427,0.966673,0.722365
8,5,0.95025,0.153548,0.981163,0.593946,0.965339,0.732304
8,6,0.94975,0.157002,0.980279,0.593023,0.965689,0.720154
